Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770257536,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770257537,2,,Aggregated,0.000000,0.000000,1,1,1,1,1,1,1,1,5,14,14,2117,2117,1,0.8731637964125587,0.42308899992349325,13.802920999296475,0.0
1770257538,4,,Aggregated,0.000000,0.000000,1,2,2,2,2,2,2,3,7,14,14,4220,4220,1,1.2723950099524015,0.42308899992349325,13.802920999296475,0.0
1770257539,6,,Aggregated,830.000000,830.000000,2,2,2,2,3,3,3,3,14,14,14,6370,6370,2,1.661713832176935,0.42308899992349325,14.392453000255045,0.0
1770257540,8,,Aggregated,1455.500000,1455.500000,2,2,3,3,3,3,4,4,14,18,18,8568,8568,2,2.0287908770964296,0.42308899992349325,18.492289000278106,0.0
1770257541,10,,Aggregated,1703.000000,1703.000000,2,3,3,3,4,4,5,5,18,21,22,10671,10671,2,2.414722068405218,0.42308899992349325,21.824591000040527,0.0
1770257542,12,,Aggregated,1819.000000,1819.000000,3,3,4,4,5,5,5,6,19,21,22,12788,12788,3,2.787518205657171,0.42308899992349325,21.824591000040527,0.0
1770257543,14,,Aggregated,1888.800000,1888.800000,3,4,4,5,5,6,6,7,19,21,22,14899,14899,3,3.1704795790930653,0.42308899992349325,21.824591000040527,0.0
1770257544,16,,Aggregated,1923.166667,1923.166667,3,4,5,5,6,6,7,7,20,21,22,17138,17138,3,3.5341516023392328,0.42308899992349325,21.824591000040527,0.0
1770257545,18,,Aggregated,1943.571429,1943.571429,4,5,5,6,6,7,8,8,20,23,23,19297,19297,4,3.9144529050067343,0.42308899992349325,22.71352099978685,0.0
1770257546,20,,Aggregated,1977.000000,1977.000000,4,5,6,6,7,8,8,10,22,42,42,21435,21435,4,4.295927156655053,0.42308899992349325,42.09893999995984,0.0
1770257547,20,,Aggregated,2002.666667,2002.666667,5,6,6,7,7,8,9,12,22,42,42,23715,23715,5,4.577392288715741,0.42308899992349325,42.09893999995984,0.0
1770257548,20,,Aggregated,2009.200000,2009.200000,5,6,7,7,7,8,9,12,22,42,42,26025,26025,5,4.80471894781617,0.42308899992349325,42.09893999995984,0.0
1770257549,20,,Aggregated,2146.500000,2146.500000,5,6,7,7,8,8,9,13,24,42,42,28216,28216,5,5.015213465512873,0.42308899992349325,42.09893999995984,0.0
1770257550,20,,Aggregated,2176.400000,2176.400000,6,7,7,7,8,8,9,13,24,41,42,30447,30447,6,5.18279442611459,0.42308899992349325,42.09893999995984,0.0
1770257551,20,,Aggregated,2180.500000,2180.500000,6,7,7,7,8,8,9,13,24,41,42,32753,32753,6,5.317312954719063,0.42308899992349325,42.09893999995984,0.0
1770257552,20,,Aggregated,2179.100000,2179.100000,6,7,7,7,8,8,9,15,24,41,42,35093,35093,6,5.434734398794695,0.42308899992349325,42.09893999995984,0.0
1770257553,20,,Aggregated,2191.300000,2191.300000,6,7,7,7,8,8,9,16,25,41,42,37336,37336,6,5.542220410887268,0.42308899992349325,42.09893999995984,0.0
1770257554,20,,Aggregated,2210.800000,2210.800000,6,7,7,7,8,8,9,17,24,41,42,39576,39576,6,5.649105654104965,0.42308899992349325,42.09893999995984,0.0
1770257555,20,,Aggregated,2234.200000,2234.200000,6,7,7,7,8,8,9,17,24,41,42,41944,41944,6,5.727849677757735,0.42308899992349325,42.09893999995984,0.0
1770257556,20,,Aggregated,2234.800000,2234.800000,6,7,7,7,8,8,9,18,24,41,42,44184,44184,6,5.81614677000447,0.42308899992349325,42.09893999995984,0.0
1770257557,20,,Aggregated,2244.200000,2244.200000,7,7,7,7,8,8,9,18,24,41,42,46336,46336,7,5.898191074021764,0.42308899992349325,42.09893999995984,0.0
1770257558,20,,Aggregated,2271.200000,2271.200000,7,7,7,7,8,8,9,18,24,41,42,48564,48564,7,5.966823825856018,0.42308899992349325,42.09893999995984,0.0
1770257559,20,,Aggregated,2272.700000,2272.700000,7,7,7,7,8,8,9,18,24,40,42,50846,50846,7,6.020635464714004,0.42308899992349325,42.09893999995984,0.0
1770257560,20,,Aggregated,2246.800000,2246.800000,7,7,7,7,8,8,9,18,24,40,42,53106,53106,7,6.075203244621694,0.42308899992349325,42.09893999995984,0.0
1770257561,20,,Aggregated,2252.700000,2252.700000,7,7,7,8,8,8,9,18,24,40,42,55381,55381,7,6.1213203534586444,0.42308899992349325,42.09893999995984,0.0
1770257562,20,,Aggregated,2259.900000,2259.900000,7,7,7,8,8,8,9,18,24,40,42,57601,57601,7,6.1708353564852665,0.42308899992349325,42.09893999995984,0.0
1770257563,20,,Aggregated,2256.400000,2256.400000,7,7,7,8,8,8,9,18,24,40,42,59882,59882,7,6.206430882750973,0.42308899992349325,42.09893999995984,0.0
1770257564,20,,Aggregated,2251.400000,2251.400000,7,7,7,8,8,8,9,18,24,40,42,62241,62241,7,6.233989681639335,0.42308899992349325,42.09893999995984,0.0
1770257565,20,,Aggregated,2245.500000,2245.500000,7,7,7,8,8,8,9,18,24,40,42,64501,64501,7,6.269840134167303,0.42308899992349325,42.09893999995984,0.0
1770257566,20,,Aggregated,2251.800000,2251.800000,7,7,7,8,8,8,9,18,24,40,42,66721,66721,7,6.3059313652359865,0.42308899992349325,42.09893999995984,0.0
1770257567,20,,Aggregated,2258.500000,2258.500000,7,7,7,8,8,8,9,18,23,40,42,69001,69001,7,6.336559070388991,0.42308899992349325,42.09893999995984,0.0
1770257568,20,,Aggregated,2247.700000,2247.700000,7,7,7,8,8,8,9,18,23,40,42,71201,71201,7,6.373858546255072,0.42308899992349325,42.09893999995984,0.0
