Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770263195,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770263196,2,,Aggregated,0.000000,0.000000,1,1,1,1,7,7,7,7,7,7,7,6,6,1,1.884668333332229,0.8454120015812805,6.538213998283027,0.0
1770263197,4,,Aggregated,0.000000,0.000000,1,1,7,7,1000,1000,1000,1000,1000,1000,1000,7,7,1,146.86713271424065,0.8454120015812805,1016.7619189996913,0.0
1770263198,6,,Aggregated,0.000000,0.000000,1,7,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,8,1,256.37742699996124,0.8454120015812805,1022.9494870000053,0.0
1770263199,8,,Aggregated,6.000000,6.000000,1,7,1000,1000,1000,1000,1000,1000,1000,1000,1000,9,9,1,339.6228365555645,0.8454120015812805,1022.9494870000053,0.0
1770263200,10,,Aggregated,3.500000,3.500000,7,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,10,10,1,508.7388058000215,0.8454120015812805,2030.7825290001347,0.0
1770263201,12,,Aggregated,2.666667,2.666667,1,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,11,11,1,462.60044572723433,0.8454120015812805,2030.7825290001347,0.0
1770263202,14,,Aggregated,2.250000,2.250000,1,7,1000,1000,1000,2000,2000,2000,2000,2000,2000,12,12,1,424.15880383320354,0.8454120015812805,2030.7825290001347,0.0
1770263203,16,,Aggregated,2.000000,2.000000,1,7,1000,1000,1000,2000,2000,2000,2000,2000,2000,13,13,1,391.61684261531406,0.8454120015812805,2030.7825290001347,0.0
1770263204,18,,Aggregated,1.833333,1.833333,1,10,1000,1000,1000,2000,2000,2000,2000,2000,2000,14,14,1,364.34249421420515,0.8454120015812805,2030.7825290001347,0.0
1770263205,20,,Aggregated,1.714286,1.714286,1,7,1000,1000,1000,2000,2000,2000,2000,2000,2000,15,15,1,340.1251523332273,0.8454120015812805,2030.7825290001347,0.0
